Subject Code,Faculty Code,Subject Name,Subject Short Name,Subject Level,Subject Length,Subject Value,Status,Subject Fee,ED Subject Group Code,ED Year Level,ED Subject Code,Instruction Time,SSABSA Subject Code,SACE Stage,SACE Units,Course Name,SACE Code,FTE,TRT Days,Enrol Date,End Date,GL Account,Transaction Ref,future SACE,Result Type
0FOCF,HE,FOOD & CULTURE,,10,4,,I,,04,10,HE,240,,,,0FOCF,,,,,,,,N,
0FOCS,HE,FOOD & CULTURE,,10,2,,I,,04,10,HE,240,,,,0FOCS,,,,,,,,N,
0FOD,HE,FOOD,,10,2,,I,,08,10,FH,,,,,0FOD,,0,0,,,,,N,
0FODA,IT,FOOD AND NUTRITION,,10,2,,O,,04,10,HE,,,,,,,0,0,,,,,N,
0FODB,IT,FOOD INNOVATION,,10,2,,O,,04,10,HE,,,,,,,0,0,,,,,N,
0FPP,EG,TEXT IN THE FIRST PERSON,,10,2,,I,,01,10,MS,,,,,,,0,0,,,,,N,
0FTXT,EG,FILM AS TEXT,,10,1,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0FUTC,VE,FUTURES CONNECT,,11,2,,I,,09,11,WD,,1WED1,1,1,0FUTC,WED,0,0,,,,,N,
0GDH,SV,GROSS DOMESTIC HAPPINESS,,10,2,,I,,06,10,SV,,,,,0GDH,,0,0,,,,,N,
0GEOTR,MA,GEOMETRY AND TRIGONOMETRY,,10,2,,I,,03,10,MA,,,,,,,0,0,,,,,N,
0GER,LE,GERMAN,,10,2,,I,,02,10,GM,,,,,0GER,,0,0,,,,,N,
0GERF,LE,GERMAN FULL,,10,2,,I,,02,10,GM,240,,,,0GERF,,,,,,,,N,
0GERH,LE,GERMAN HALF,,10,2,,I,,02,10,GM,,,,,,,0,0,,,,,N,
0GERX,LE,GERMAN EXTENSION,,10,2,,I,,02,10,GM,,,,,0GERX,,0,0,,,,,N,
0GRKH,LE,GREEK HALF,,10,2,,I,,02,10,GK,,,,,,,0,0,,,,,N,
0HFPP,EG,HUMOUR AND FIRST PERSON TEXT,,10,2,,I,,01,10,EG,,,,,,,0,0,,,,,N,
0HLIF,PE,HEALTHY LIFESTYLES,,10,2,,I,,04,10,PE,,,,,0HLIF,,0,0,,,,,N,
0HORF,SC,HORTICULTURE,,10,4,,I,,05,10,AG,240,,,,0HORF,,,,,,,,N,
0HORS,SC,HORTICULTURE,,10,2,,I,,05,10,AG,240,,,,0HORS,,,,,,,,N,
0HPE,PE,HEALTH AND PHYSICAL EDUCATION,,10,2,,I,,04,10,PE,,,,,,,0,0,,,,,N,
0HPE1,PE,HEALTH AND PHYSICAL EDUCATION,,10,2,,O,,04,10,PE,,,,,,,0,0,,,,,N,
0HPE2,PE,HEALTH AND PHYSICAL EDUCATION (SEM 2),,10,2,,O,,04,10,PE,,,,,,,0,0,,,,,N,
0HUM,SV,HUMANITIES,,10,4,,I,,06,10,SV,,,,,0HUM,,0,0,,,,,N,
0HUME,SV,HISTORY,,10,2,,O,,06,10,SV,,,,,,,0,0,,,,,N,
0HUML,SV,HISTORY,,10,2,,O,,06,10,SV,,,,,,,0,0,,,,,N,
0HUMO,SV,HISTORY,,10,2,,O,,06,10,SV,,,,,,,0,0,,,,,N,
0HUMP,SV,HISTORY,,10,2,,O,,06,10,SV,,,,,,,0,0,,,,,N,
0HUMX,SV,HUMANITIES,,10,4,,I,,06,10,SV,,,,,,,0,0,,,,,N,
0HUMY,SV,HUMANITIES,,10,4,,I,,06,10,SV,,,,,,,0,0,,,,,N,
0HUMZ,SV,HUMANITIES,,10,4,,I,,06,10,SV,,,,,,,0,0,,,,,N,
0ICT,IT,INFORMATION TECHNOLOGY,,10,2,,I,,08,10,IF,,,,,0ICT,,0,0,,,,,N,
0ICT1,IT,INFO COM TECH,,10,2,,I,,08,10,IF,,,,,0ICT1,,0,0,,,,,N,
0ICTF,IT,INFO COM TECH,,10,4,,I,,08,10,CP,240,,,,0ICTF,,,,,,,,N,
