sub_code,sub_name
9MMES3,MULTIMEDIA
9MMES4,MULTIMEDIA
9MMESI,SPECIAL INTEREST MULTIMEDIA
9MTH,MATHEMATICS
9MTH1,MATHEMATICS
9MTHE,MATHEMATICS
9MTHG,MATHS
9MTHL,MATHEMATICS
9MTHO,MATHEMATICS
9MTHP,MATHEMATICS
9MTHX,MATHEMATICS
9MTHY,MATHEMATICS
9MTHZ,MATHEMATICS
9MUS,MUSIC
9MUS1,MUSIC HALF
9MUS2,MUSIC
9MUSA,MUSIC A
9MUSB,MUSIC B
9MUSF,MUSIC (FULL YEAR)
9MUSH,MUSIC HALF
9MUSS1,MUSIC
9MUSS2,MUSIC
9MUSS3,MUSIC
9MUSS4,MUSIC
9MUSSI,SPECIAL INTEREST MUSIC
9MWK,METALWORK
9NLIT,NUMERACY/LITERACY
9PD,PERSONAL DEVELOPMENT
9PDV,PERSONAL DEVELOPMENT
9PED,PHYSICAL EDUCATION
9PED1,PHYSICAL EDUCATION
9PED2,PHYSICAL EDUCATION
9PERF,PERFORMING ARTS
9PESI,SPECIAL INTEREST PHYSICAL EDUCATION
9PHE,PHYSICAL AND HEALTH EDUCATION
9PLP,PERSONAL LEARNING PLAN
9RBT,ROBOTICS
9SCI,SCIENCE
9SCI1,SCIENCE
9SCIE,SCIENCE
9SCIG,SCIENCE
9SCIL,SCIENCE
9SCIO,SCIENCE
9SCIP,SCIENCE
9SCIX,SCIENCE
9SCIY,SCIENCE
9SCIZ,SCIENCE
9SOS,HUMANITIES
9SOS1,HUMANITIES
9SOSELEC1,SOSE DOLPHINS
9SOSELEC2,SOSE BONSAI
9SOSELEC3,SOSE FLY
9SOSELEC4,SOSE HOLDENS
9SOSELEC5,SOSE POLITICS
9SOSELEC6,SOSE PANDEMONIUM
9SOSELEC7,SOSE FOOD
9TECS,SPECIAL INTEREST TECH STUDIES
9THDSI,SPECIAL INTEREST THEATRE DESIGN
9TUT,TUTORING
9TXT,TEXTILES
9TXT1,TEXTILES
9WWK,WOODWORK
9WWK1,WOODWORK
AACAD,SAASTA ACADEMY
ABED,ABORIGINAL EDUCATION
ACADFOOT,FOOTY ACADEMY
ACADNET,NETBALL ACADEMY
AFLACAD,AFL ACADEMY
ART,ART ROOM 3
COMLEARN,COMMUNITY LEARNING
COMP,COM PATHWAY
D2CCARE,REGIONAL D2C CARE
DRUM,DRUM LESSONS
ENGSUP,ENGLISH SUPPORT
ESLSPPT,ESL SUPPORT
ESMA,ESSENTIAL MATHS
FITNESS,TABLE TENNIS
FLO,FLEXIBLE LEARNING OPTIONS
FLOCARE,FLEXIBLE LEARNING OPTIONS CARE
FORMAL,FORMAL
FRENCH,FRENCH OPEN ACCESS
GRGOFF,GREGORYS OFFICE
HW CLUB,HOMEWORK CLUB
INEDSU,INCLUSIVE ED SUPPORT
ISJART,ART
ISJBG,BOYS GROUP
ISJHEA,HEALTH
ISJLANA,LANGUAGE A
ISJLANB,LANGUAGE B
ISJMA,MATHEMATICS
ISJMM,MULTIMEDIA
ISJPE,PHYSICAL EDUCATION
ISJSC,SCIENCE
ISJSE,SOCIETY AND ENVIRONMENT
ISJTS,TECHNOLOGY
ISJUAT,ART
ISJUBG,BOYS GROUP
ISJUIT,INFORMATION TECHNOLOGY
ISJULANB,LANGUAGE B
ISJUMU,MUSIC
ISJUPE,PHYSICAL EDUCATION
ISJUSE,SOCIETY AND ENVIRONMENT
ISMBG,BOYS AND GIRLS GROUP
ISSUBG,BOYS AND GIRLS GROUP
LINK,LINK LEARNING
LITCAFE,LITERACY CAFE
LLI,LLI
LSUP,LEARNING SUPPORT
MAILVET,
MAMETH,MATHEMATICAL METHODS
MASJCARE,D2C CARE
MOPUP,MOP UP MAILING LIST
NEPSU,NEP SUPPORT
NEPSUS2,NEP SUPPORT SEM 2
NETACAD,NETBALL ACADEMY
PATROL,PATROL
PERS DEV,PERSONAL DEVELOPMENT
PHON,PHONICS
PYIMHS,PHYSICS/METHODS
SC1ART,ART
SC1ART2,VISUAL ART
SC1ARTS,MUSIC/DRAMA
SC1DT,TECHNOLOGY
SC1ENG,ENGLISH
SC1FD,FOOD
SC1HUM,HUMANITIES
SC1MTH,MATHS
SC1MUS,MUSIC
SC1SCI,SCIENCE
SC2ART,ART
SC2ARTS,CREATIVE ARTS
SC2BE,BUSINESS & ENTERPRISE
SC2CD,CROSS DISCIPLINARY
SC2DT,DIGITAL TECHNOLOGY
SC2ENG,ENGLISH
SC2FOODT,FOOD TECHNOLOGY
SC2HE,HEALTH
SC2HUM,HUMANITIES
SC2MTH,MATHS
SC2MUS,MUSIC
SC2RP,RESEARCH PROJECT
SC2SC,SOCIETY & CULTURE
SC2SCI,SCIENCE
SC3ARTS,ARTS
SC3BI,BUSINESS & INNOVATION
SC3CD,CROSS DISCIPLINARY STUDIES
SC3ENG,ENGLISH
SC3MTH,MATHEMATICS
SC3SC,SOCIETY & CULTURE
SJ1,SJ1
SJ2,SJ2
SJ3,SJ3
SJ4,SJ4
SJ6,SJ6
SJ7,SJ7
SJAT,CREATIVE ARTS
SJAUS,AUSLAN
SJBG,BOYS GROUP
SJCA,COMMUNITY LEARNING
SJCOM,COMMUNICATIONS
SJCS,CULTURAL STUDIES
SJDA,DANCE
SJDDN,DIGITAL DESIGN
SJDE,DUKE OF EDINBURGH
SJDN,DESIGN TECHNOLOGY
SJDR,DRAMA
SJDT,DIGITAL TECHNOLOGY
SJEG,ENGLISH
SJENG,ENGLISH
SJFD,FOOD
SJHE,HEALTH
SJHEA,HEALTH
SJHO,HORTICULTURE
SJHPE,HEALTH AND PHYSICAL EDUCATION
SJHUM,HUMANITIES
SJIT,INFORMATION TECHNOLOGY
SJLA,LANGUAGE B
SJLAA,LANGUAGE A
SJLAB,SIGN
SJLI,LITERACY
SJLIT,LITERACY
SJMA,MATHEMATICS
SJMM,MULTIMEDIA
SJMTH,MATHEMATICS
SJMU,MUSIC
SJNU,NUMERACY
SJNUM,NUMERACY
SJPA,PHYSICAL ACTIVITY
SJPE,PHYSICAL EDUCATION
SJPERF,PERFORMING ARTS
SJSC,SCIENCE
SJSCI,SCIENCE
SJSE,HUMANITIES
SJSI,SCIENCE
SJSIGN,SIGN
SJTS,DESIGN TECHNOLOGY
SJU1,SJU1
SJU2,SJU2
SJU3,SJU3
SJU4,SJU4
SJU6,SJU6
SJU7,SJU7
SJUAR,CREATIVE ARTS
SJUAT,ART
SJUAUS,AUSLAN
SJUBG,BOYS GROUP
SJUCO,COMMUNITY LEARNING
SJUCOM,COMMUNICATIONS
SJUCU,CULTURAL STUDIES
SJUDA,DANCE
SJUDE,DUKE OF EDINBURGH
SJUDN,DESIGN TECHNOLOGY
SJUDR,DRAMA
SJUDT,DIGITAL TECHNOLOGY
SJUEG,ENGLISH
SJUENG,ENGLISH
SJUFD,FOOD
SJUHE,HEALTH
SJUHPE,HEALTH AND PHYSICAL EDUCATION
SJUHUM,HUMANITIES
SJUIT,INFORMATION TEHNOLOGY
SJULA,LANGUAGE B
SJULAA,LANGUAGE A
SJULAB,SIGN LANGUAGE (LANGUAGE B)
SJULS,LIFE SKILLS
SJULT,LITERACY
SJUMA,NUMERACY
SJUMM,MULTIMEDIA
SJUMTH,MATHS
SJUMU,MUSIC
SJUMUS,MUSIC
SJUNU,NUMERACY
SJUPE,PHYSICAL EDUCATION
SJUPERF,PERFORMING ARTS
SJUSC,SCIENCE
SJUSCI,SCIENCE
SJUSCS,SIGN
SJUSE,HUMANITIES
SJUSIGN,SIGN
SJUTC,TAI CHI
SJUTS,TECHNOLOGY
SJUWS,WORK STUDIES
SJWS,WORK STUDIES
SM1,SM1
SM2,SM2
SM3,SM3
SM4,SM4
SM5,SM5
SM6,SM6
SM7,SM7
SMAG,AGRICULTURE
SMAR,ART
SMART,CREATIVE ART
SMAT,CREATIVE ARTS - STAGE 1
SMBG,BOYS AND GIRLS GROUP
SMCOM,COMMUNICATIONS
SMCS,COMMUNITY STUDIES
SMDE,DESIGN TECHNOLOGY
SMEG,LANG A/B
SMENG,ENGLISH
SMFD,FOOD
SMGG,GIRLS GROUP
SMHE,HEALTH
SMHPE,HEALTH AND PHYSICAL EDUCATION
SMHS,HYDE STREET
SMHUM,SOCIETY AND CULTURE
SMHY,HYDE STREET
SMHYD,HYDE STREET
SMIL,INTEGRATED LEARNING
SMIS,COMMUNITY STUDIES
SMIT,INFORMATION TECHNOLOGY
SMLA,SIGN LANGUAGE
SMLIT,LITERACY AND WORK
SMLT,LITERACY
SMMA,MATHS
SMMM,MULTIMEDIA
SMMP,MATERIAL PRODUCTION
SMMTH,MATHEMATICS
SMMWC,MATHS FOR WORK AND THE COMMUNITY
SMNUM,NUMERACY
SMPE,PHYSICAL EDUCATION
SMPP,PERSONAL PROJECT
SMSC,AGRICULTURE
SMSCI,SCIENCE
SMSIGN,SIGN
SMTC,TECHNOLOGY AND THE COMMUNITY
SMTS,TECHNICAL STUDIES
SMU1,SMU1
SMU2,SMU2
SMU3,SMU3
SMU4,SMU4
SMU6,SMU6
SMU7,SMU7
SMUAT,CREATIVE ARTS
SMUBG,BOYS GROUP
SMUCOM,COMPUTING
SMUDDN,DIGITAL DESIGN
SMUDR,CREATIVE ARTS: MODIFIED
SMUEG,ENGLISH
SMUENG,ENGLISH
SMUFT,FOOD TECH
SMUHE,HEALTH
SMUHPE,HEALTH AND PHYSICAL EDUCATION
SMUHU,SOCIETY & CULTURE: MODIFIED
SMUHUM,HUMANITIES
SMULA,LANG A/B
SMULIT,LITERACY
SMULS,LIFE SKILLS
SMUMA,ENGLISH PATHWAYS: MODIFIED
SMUMTH,MATHEMATICS
SMUNUM,NUMERACY
SMUPE,PHYSICAL EDUCATION: MODIFIED
SMUSC,SCIENTIFIC STUDIES: MODIFIED
SMUSCI,SCIENCE
SMUSIGN,SIGN
SMUTE,TECHNOLOGY
SMUTS,BUSINESS & ENTERPRISE: MODIFIED
SMUWP,WORK PLACEMENT
SOC SKILLS,SOCIAL SKILLS
SS1,SS1
SS2,SS2
SS3,SS3
SS4,SS4
SS6,SS6
SS7,WORK PLACEMENT
SS8,TRANSITION TO WORK
SSAG,AGRICULTURE
SSART,CREATIVE ARTS: MODIFIED
SSAT,VISUAL ARTS - ARTS
SSBE,BUSINESS AND ENTERPRISE
SSBSE,SOCIETY AND CULTURE
SSCOM,COMMUNICATIONS
SSCS,COMMUNITY STUDIES
SSDM,DIGITAL MUSIC
SSEG,ENGLISH
SSFL,FLEXIBLE LEARNING
SSHE,HEALTH EDUCATION
SSHPE,HEALTH & PHYSICAL EDUCATION
SSIL,INTEGRATED LEARNING
SSIT,INFORMATION TECHNOLOGY
SSLA,SIGN LANGUAGE
SSLIT,LITERACY: MODIFIED
SSLT,LITERACY
SSMM,MULTIMEDIA
SSMTH,MATHEMATICS
SSMW,METALWORK
SSNUM,NUMERACY
SSPE,PHYSICAL EDUCATION
SSPECRAM,SENIOR SPECIAL CLASS
SSRP,RESEARCH PROJECT: MODIFIED
SSSC,SCIENCE
SSSCI,SCIENTIFIC STUDIES: MODIFIED
SSSOC,SOCIETY AND CULTURE
SSSTU,SUP STUDY
SSSTY,STUDY PERIOD
SSTS,TECHNICAL STUDIES
SSU1,SSU1
SSU2,SSU2
SSU3,SSU3
SSU4,SSU4
SSU6,SSU6
SSU7,SSU7
SSUART,CREATIVE ARTS: MODIFIED
SSUAS,AUSTRALIAN STUDIES
SSUAT,CREATIVE ARTS - STAGE 1
SSUBE,BUSINESS AND ENTERPRISE MODIFIED
SSUBG,BOYS AND GIRLS GROUP
SSUBSE,SOCIETY AND CULTURE
SSUCO,WORK AND THE COMMUNITY
SSUCOM,COMMUNICATIONS
SSUCS,COMMUNITY STUDIES
SSUCU,HEALTH REC AND THE COMMUNITY
SSUCXD,CROSS DISCIPLINARY STUDIES: MODIFIED
SSUDE,DUKE OF EDINBURGH
SSUDR,CREATIVE ARTS: MODIFIED
SSUEG,ENGLISH
SSUFD,FOOD TECH
SSUHE,HOME EC
SSUHPE,HEALTH & PHYSICAL EDUCATION
SSUHS,HYDE STREET
SSUHT,HEALTH
SSUIL,INTEGRATED LEARNING
SSUIS,INTEGRATED STUDIES
SSUIT,INFORMATION TECHNOLOGY
SSULIT,ENGLISH PATHWAYS: MODIFIED
SSULS,LIFE SKILLS
SSULT,ENGLISH PATHWAYS: MODIFIED
SSUMA,MATHS
SSUMM,MULTIMEDIA
SSUMU,MUSIC
SSUNUM,MATHS PATHWAYS: MODIFIED
SSUPE,PHYSICAL EDUCATION
SSURE,RELAXATION
SSURP,RESEARCH PROJECT: MODIFIED
SSUSC,SCIENCE AND THE COMMUNITY
SSUSE,SOCIETY & CULTURE: MODIFIED
SSUSL,SIGN LANGUAGE
SSUSW,SWIMMING
SSUTC,TAI CHI
SSUTS,TECH STUDIES
SSUWP,WORK PLACEMENT
SSVS,VOCATIONAL STUDIES
SSWD,WOODWORK
SSWE,WORK EDUCATION
SSWP,WORK PLACEMENT
SSWS,WORK STUDIES
STAFF ICT,STAFF ICT
SU1ART,VISUAL ART
SU1ARTS,PERFORMING ARTS
SU1DT,TECHNOLOGY
SU1ENG,ENGLISH
SU1FD,FOOD
SU1HUM,HUMANITIES
SU1MTH,MATHS
SU1MUS,MUSIC
SU1SCI,SCIENCE
SU2ART,VISUAL ART
SU2ARTS,CREATIVE ARTS
SU2DT,TECHNOLOGY
SU2ENG,ENGLISH
SU2HE,HEALTH
SU2HUM,HUMANITIES
SU2MTH,MATHS
SU2SCI,SCIENCE
SU3ARTS,CREATIVE ARTS
SU3BE,BUSINESS & ENTERPRISE
SU3BI,BUSINESS & INNOVATION
SU3DTE,DESIGN TECH & ENTERPRISE
SU3ENG,ENGLISH
SU3HE,HEALTH: MODIFIED
SU3MTH,MATHS
SU3SC,SOCIETY & CULTURE
SU4ARTS,CREATIVE ARTS
SU4CD,CROSS DISCIPLINARY STUDIES
SU4ENG,ENGLISH
SU4HE,HEALTH
SU4MTH,MATHS
SU4RP,RESEARCH PROJECT
SU4SC,SOCIETY & CULTURE
SU4SCI,SCIENCE
SUPER,SUPERVISION
SUPSTUD,SUPERVISED STUDY
SWD AG,OUTDOOR ED
SWD ART,MYTHS AND LEGENDS
SWD1,PHYSICAL EDUCATION
SWD2,PHYSICAL EDUCATION
SWD3,PHYSICAL EDUCATION
SWDAN,DIGITAL MEDIA
SWDBG1,BOYS GROUP 1
SWDBG2,BOYS GROUP 2
SWDBG3,BOYS GROUP 3
SWDBL,PHOTOGRAPHY
SWDCF,FOOD
SWDELECT,SWD ELECTIVES
SWDFS,FISHING
SWDFSA,RECREATIONAL ANGLING 101
SWDGG1,GIRLS GROUP 1
SWDHE,HEALTH
SWDMUS,MUSIC
SWDPE,HEALTH AND PHYSICAL EDUCATION
SWDST,SWD STUDENTS
SWDTS,HORTICULTURE
SWL,STRUCT WKPLACE LEARNING
TABED,AB ED TUTORING
TABRSIS,RESPECT SISTA PROGRAM
TABWKBT,WORK ABOUT
TARHALL,UNIVERSITY MENTORING
TAXI,TAXI
TAXI/MID,TAXI AND MIDDLE SCHOOL
TBGY,BIOLOGY TUTORING
TEAL,EAL TUTORING
TEN,ACADEMIC ENHANCEMENT
TENG,TUTORING ENGLISH
TINKER,TINKER ROOM
TLITSUP,LITERACY SUPPORT
TMA,MATHS TUTORING
TMATH,TUT MATHS
TMATHMETH,TUTORING MATHS METHODS
TMPW,TUTORING MTH PTH
TNUMSUP,NUMERACY SUPPORT
TRP,RESEARCH PROJECT TUTORING
TSSTUD,SUPERVISED STUDY
TSUP,ACADEMIC RECOVERY
TUMEM,TUTORING ESSENTIAL MATHS
TUT,TUTORING
TUTBIG,TUTORING BIOLOGY
TUTCEM,TUTORING CHEMISTRY
TUTCHI,TUTORING CHINESE
TUTEG,TUTORING ENGLISH
TUTMASC,TUTORING MATHS SCIENCE
TUTMGM,TUTORING GENERAL MATHS
TUTMHS,TUTORING MATHS METHODS
TUTMST1,TUTORING MATHS METHODS
TUTMTH,MATHS CATCH UP
TUTMTHPW,TUTORING MATHS PW
TUTPHOTO,PHOTOGRAPHY
TUTPSC,TUTORING PSYCHOLOGY
TUTPURMA,PURE MATHS TUT
TUTPYI,TUTORING PHYSICS
TUTSPMA,TUTORING SPEC MATHS
TUTSS,TUTORING
TUTSTEM,TUTORING STEM
TVSUP,VET SUPPORT
UNIP,UNI PATHWAY
UNIWATCH,UNI AT RISK STUDENTS
UTUTBIG,TUTORING BIOLOGY
UTUTCME,TUTORING CHEMISTRY
UTUTMPW,TUTORING MATHS PATHWAYS
UTUTPYS,TUTORING PHYSICS
UTUTSPEC,TUTORING SPECIALIST MATHS
UTUTSTUMA,TUTORING MATHS STUDIES
UTUTTSM,TUTORING TOURISM
V1225,TWELVE 25
V1ANIMAL,CERTIFICATE I IN ANIMAL STUDIES
V1AUTO,CERTIFICATE I IN AUTOMOTIVE
V1CON,CERTIFICATE I IN CONSTRUCTION (PLUMBING)
V1CONYEC,CERTIFICATE I IN CONSTRUCTON (YEC)
V1CRTIND,CERT I CREATIVE INDUSTRIES
V1EDSKL,CERT I EDU & SKILLS DEVELOPMENT
V1HOSFDBEV,CERTIFICATE I HOSPITALITY (FOOD & BEVERAGE)
V1HOSPKO,CERT I HOSPITALITY (KITCHEN OPS)
V1LIT,CERT I LITERACY
V1MEAT,CERT I MEAT RETAIL
V2AIRBR,CERT II AIRBRUSHING
V2AMHORT,CERT II AMENITY HORTICULTURE
V2ANIM,CERT II ANIMAL STUDIES
V2AUTO,CERT II AUTOMOTIVE SERVICING
V2COMSER,CERT II COMMUNITY SERVICES
V2CON,CERT II CONSTRUCTION PATHWAYS
V2CONLMNG,CERT II CONSERVATION & LAND MGMT
V2CRINMD,CERT II CREATIVE INDUSTRIES (MEDIA)
V2ELEC,CERT II ELECTROTECHNOLOGY
V2ENGINE,CERT II ENGINEERING
V2FDPRO,CERT II FOOD PROCESSING (BAKERY FOCUS)
V2HAIR,CERT II HAIRDRESSING
V2HLTHSER,CERT III HEALTH SERVICES
V2HORT,CERT II HORTICULTURE
V2HORTGWL,CERT II HORTICULTURE (GAWLER HS)
V2HORTPWC,CERT II HORTICULTURE (PWAC)
V2HOSPKO,CERT II HOSPITALITY (KITCHEN OPS)
V2HOSPOP,CERT II HOSPITALITY (OPERATIONS)
V2IDIGMED,"CERT II INFORMATION, DIGITAL MEDIA & TECHNOLOGY"
V2INDIGTEC,"CERT II INFO, DIG MEDIA & TECH"
V2IT,CERT II IT
V2KITOP,CERT II KITCHEN OPERATIONS
V2KOWG,CERT II KITCHEN OPS (WINDSOR GARDENS)
V2MAKUP,CERT II MAKEUP
V2MTLROOF,CERT II METAL ROOFING
V2MUSIC,CERT II MUSIC
V2NAILS,CERT II NAILS
V2PLUMB,CERT II PLUMBING
V2RFPLM,CERT II ROOF PLUMBING
V2RTCOS,CERT II RETAIL COSMETICS
V2RTMKUP,"CERT II RETAIL, MAKEUP & SKIN CARE"
V2SALAS,CERT II SALON ASSISTANT
V2WARE,CERT II/III WAREHOUSING
V3AGED,CERT III AGED CARE
V3ANIMAL,CERT III ANIMAL STUDIES
V3BEAUTMK,CERT III BEAUTY (MK UP FOCUS)
V3BEAUTY,CERT III BEAUTY
V3BRICK,CERT III BRICK & BLOCKLAYING
V3BUS,CERT III BUSINESS
V3BUSINESS,CERT III BUSINESS
V3BUSSHS,CERTIFICATE III BUSINESS (SHS)
V3CARP,CERT III CARPENTRY
V3CHDSK,CERT III CHILDCARE SEEK ONLINE
V3CHIDSE,CERT III CHILDREN'S SERVICES
V3COMSE,CERT III COMMUNITY SERVICE WORK
V3DIS,CERT III DISABILITY
V3DROP,CERT III DRIVING OPERATIONS
V3ECHEDU,CERT III EARLY CHILDHOOD EDUCATION & CARE
V3ELECT,CERT III ELECTROTECHNOLOGY
V3ENGIN,CERT III ENGINEERING
V3EVENT,CERT III VENUES & EVENTS
V3FITNESS,CERT III IN FITNESS
V3FLOR,CERT III FLORISTRY
V3GMDVL,CERT III GAME DEVELOPMENT FOUNDATIONS
V3HAIR,CERT III HAIRDRESSING PATHWAYS
V3HESERAS,CERT III HEALTH SERVICES ASSISTANT
V3HOSFDBV,CERT III HOSPITALITY (FOOD & BEVERAGE)
V3HOSP,CERT III HOSPITALITY
V3IDIGMED,"CERT III INFORMATION, DIGITAL MEDIA & TECH"
V3INDSUP,CERT III INDIVIDUAL SUPPOR (DISABILITY STREAM)
V3IT,CERT III INFORMATION TECHNOLOGY
V3ITCYBER,"CERT III INFO, DM & TECH CYBER"
V3MEDIA,CERT III MEDIA - GAME DES
V3MICBUS,CERT III MICRO BUSINESS
V3MKUP,CERT III MAKE-UP
V3MUSIC,CERT III MUSIC
V3PLUMB,CERT III PLUMBING
V3RDTP,CERTIFICATE III ROAD TRANSPORT
V3RFPLM,CERT III ROOF PLUMBING
V3RMKUP,CERTIFICATE III RETAIL MAKE UP
V3SCRMED,CERT III SCREEN & MEDIA GAME ART
V3SPORTREC,CERT III SPORT & RECREATION
V3SPREC,CERT III SPORT & RECREATION
V3TOUR,CERTIFICATE III TOURISM
V3VISAT,CERT III VISUAL ARTS
V3WARE,CERT III WAREHOUSING
V4CHILD,CERTIFICATE IV IN CHILDREN'S SERVICES
V4DIS,CERT IV DISABILITY
V4IT,CERT IV INFORMATION TECHNOLOGY
V4SOUND,CERT III SOUND PRODUCTION
V4YOUTH,CERT IV YOUTH WORK
VADAUTO,ADVANCED AUTOMOTIVE
VANIMAL,CERT I ANIMAL STUDIES
VASBA,SCHOOL BASED APPRENTICESHIP
VAUTO,CERT I AUTOMOTIVE
VBEAUTY,CERT III BEAUTY
VBUSII,CERT II BUSINESS
VC1IT,CERT I IT
VC2CHILD1,CERT II CHILDCARE 1ST YR
VC2CHILD2,CERT II CHILDCARE 2ND YR
VC2HOSKO,CERT II HOSPITALITY
VC3MEDDIG,CERT III MEDIA
VC3NUR1,CERT III PATHWAYS TO NURSING 1ST YR
VC3NUR2,CERT III PATHWAYS TO NURSING 2ND YEAR
VCARE,REGIONAL STUDENTS CARE
VCER3IT,CERTIFICATE III IN INFORMATION TECHNOLOGY
VCERT2IT,CERT II IT
VCHILD,CERT III CHILDCARE
VCIGENCON,CERT I GENERAL CONSTRUATION (TAFE)
VCIHOSFDB,CERT I HOSPITALITY
VCIIHORT,CERT II HORTICULTURE
VCIIICHILD,CERT III CHILDCARE
VCIIIMEDSC,CERT III MEDIA (SCREEN & MEDIA)
VCOMNUR,CERT III COMMUNITY SERVICES (AGED CARE) NURSING
VCOMSER,CERT III COMMUNITY SERVICES
VCOMSTU,VET CERTIFICATE III COMMUNITY WORK
VCOMWK,VET CERTIFICATE II IN COMMUNITY SERVICES WORK
VCONST,CERT I CIVIL CONSTRUCTION
VD2C,CERT I DOORWAYS 2 CONSTRUCTION
VD2C+,D2C PLUS
VDIPCHILD,DIPLOMA OF CHILDRENS SERVICES
VDIRHAIR,HAIR & BEAUTY DIRECTIONS
VELECT,VET CERTIFICATE I IN ELECTRICAL
VELECTECH,CERT I ELECTROCOMM SKILLS
VENGFABIN,CERT II ENGINEERING & FABRICATION
VENGIN,CERT I ENGINEERING (ELECTRICAL)
VENGINMF,CERT II ENGINEERING/METAL FAB
VENR,CERT I ENGINEERING
VET03,VET 2003
VET05,VET
VET06,VET
VET07,VET
VET08,VET
VET09,VET
VET10,VET
VET11,VET
VET12,VET
VET13,VET
VET14,VET
VET15,VET
VET16,VET
VET17,VET
VET18,VET
VET19,VET
VET20,VET
VET21,VET
VET22,VET
VETECH,CERT II ELECTROTECHNOLOGY
VET``,VET
VFEEAD,VET ADMIN FEE 12
VFEEAD11,VET FEE ADMIN YR 11
VFINLIT,FINANCIAL LITERACY
VFOODPR,VET CERTIFICATE III IN FOOD PROCESSING (BAKING)
VFURNITURE,CERT I FURNITURE MAKING
VGENCON,CERT I GENERAL CONSTRUCTION
VGHOSPKO,CERT II HOSPITALITY KITCHEN OPERATIONS
VHABEA,HAIRDRESSING & MAKEUP COURSE
VHAIR,CERT II HAIRDRESSING
VHMSTUDY,HOME STUDY
VHORT,CERT I HORTICULTURE
VHOSP,CERT I HOSPITALITY (KITCHEN OPERATIONS)
VHOSPI,CERT I HOSPITALITY (KITCHEN OPERATIONS) GAWLER
VHOSPII,CERT I HOSPITALITY (OPERATIONS) SFERAS
VHOSPIII,CERT III HOSPITALITY
VHWC,VET HOMEWORK CLUB
VIIHAIR,CERT II HAIR
VINHAIR,INTRODUCTION TO HAIR & BEAUTY
VLGBUS,CERT II LEGAL BUSINESS
VMAKEUP,VET MAKEUP ARTISTRY
VMEAT,VET MEAT PROCESSING
VMINING,INTRO TO MINING
VMUSIN,CERT II MUSIC INDUSTRY FOUNDATION
VNURS,CERT II COM SER (NURSING)
VOCP,VOC PATHWAY
VOCV,VOC PATHWAY (VET)
VPRINTG,CERT II PRINTING & GRAPHICS
VPVELECT,VET PRE VOCATIONAL EDUCATION ELECTRICAL
VRETAIL,CERT III RETAIL
VSBA,SCHOOL BASED APPRENTICESHIP
VSGP,VET STUDY GROUP
VSPOREC,VET SPORT AND RECREATION
VSUP,VET SUPPORT
VSUPLIT,LITERACY VET SUPPORT
VSUPNUM,NUMERACY VET SUPPORT
VSUPPPL,PPL VET SUPPORT
VTG,TRAINING GUARANTEE
VTHMSTUDY,HOME STUDY
VTRANSD,CERT II TRANSPORT & DISTRIBUTION
VTRANSENG,VET TRANSPORT ENGINEERING STUDIES
VTSM,TOURISM - SITE
VTWKPLA,VET WORK PLACEMENT
VWKTRAIN,WORKPLACE TRAINING
XTRAMUSIC,PD MUSIC CLASS
YARD,YARD DUTY
YARD1,CANTEEN/TECH STUDIES
YARD10,WEIGHTS ROOM
YARD15,STEM COURTYARD
YARD2,OVAL
YARD3,BASKETBALL COURTS
YARD4,FRONT LAWN/FRONT GATE
YARD5,MIDDLE SCHOOL
YARD7,PAVEMENT/HANDBALL COURTS
YARD8,GYM
YARD9,LIBRARY
YASCS,COMMUNITY SERVICE
YCIA,COMPLETION IS ACHIEVED
YCIANA,CIA NON ATTENDERS
YCS1,COMMUNITY SERVICE 1
YCS2,COMMUNITY SERVICE 2
YDET,LUNCH DETENTION
YTCTARTS,TASK COMPLETION TIME ARTS
YTCTENG,TASK COMPLETION TIME ENGLISH
YTCTHL,TASK COMPLETION TIME HUMS/LANG
YTCTHPE,TASK COMPLETION TIME HPE
YTCTMS,TASK COMPLETION TIME MATHS/SCIENCE
YTCTPLPRP,TASK COMPLETION TIME PLP/RP
YTCTSACE,TASK COMPLETION TIME SACE
YTCTTEC,TASK COMPLETION TECH
ZNOD,NOT ON DUTY
ZUNAV,UNAVAILABLE
