sub_code,sub_name
0MTHG,MATHS G
0MTHL,MATHEMATICS
0MTHO,MATHEMATICS
0MTHP,MATHEMATICS
0MTHX,MATHEMATICS
0MTHX1,MATHS
0MTHY,MATHEMATICS
0MTHZ,MATHEMATICS
0MTRI,MEASUREMENT AND TRIGONOMETRY
0MUS,MUSIC
0MUSA,MUSIC A
0MUSB,MUSIC B
0MUSS,MUSIC FULL
0MUST,MUSIC TECHNOLOGY
0MWPL,MEASUREMENT IN THE WORK PLACE
0NAN,NANOTECHNOLOGY
0NDLL,NUMERACY FOR DAILY LIFE
0NHAZ,WAR AND NATURAL HAZARDS
0NMW,NEWSPAPER AND MAGAZINE WRITING
0OED,OUTDOOR EDUCATION
0OIC,ORGANIC AND INDUST CHEMISTRY
0OUTC,DESIGN TECH OUTDOOR CONSTRUCTION
0PD,PERSONAL DEVELOPMENT
0PED,PHYSICAL EDUCATION
0PED12,PHYSICAL EDUCATION 2
0PED2,PHYSICAL EDUCATION (FULL)
0PEDF,PHYSICAL EDUCATION FULL
0PEDS,PHYS ED
0PGH,PHOTOGRAPHY
0PHC,PHYSICS OF COLLISIONS
0PHE1,PHYSICAL AND HEALTH EDUCATION 1
0PHE2,PHYSICAL AND HEALTH EDUCATION 2
0PLP,PERSONAL LEARNING PLAN
0PPN,PROPAGANDA AND PERSUASION
0PPROJE,PERSONAL PROJECT
0PSC,PHYSICAL SCIENCE
0PTRY,POETRY
0PWP,POETRY WAR PROTEST
0RBK,RECIPE BOOK
0RBT,ROBOTICS
0REH,REC AND HEALTH
0REHF,REC & HEALTH
0REHS,REC & HEALTH
0RRES,ROCK EISTEDDFOD
0SCI,SCIENCE
0SCIDL1,SCIENCE FOR DAILY LIFE
0SCIE,SCIENCE
0SCIF,SCIENCE
0SCIL,SCIENCE
0SCIO,SCIENCE
0SCIP,SCIENCE
0SCIS,SCIENCE SEMESTER
0SCIX,SCIENCE
0SCIY,SCIENCE
0SCIZ,SCIENCE
0SFIC,SCIENCE FICTION
0SGEO,SIMILAR AND GEOMETRY
0SOS1,HUMANITIES
0SOS2,HUMANITIES
0SOSS,SOCIETY & ENVIRONMENT
0SSAV,SPENDING AND SAVING
0SSC,SPORTS SCIENCE
0SST,SCREEN STUDIES
0STAT,PROBABILITY AND STATISTICS
0STUDY,YEAR 10 STUDY
0STYG,STUDY OF GENRE
