No,Faculty,Subject Code,Subject Name,Class Code,Class Name,Class Suffix,BOS Class Code,BOS Code 2,BOS Code 3,Periods,Load,Students,Teachers Taking,Teachers In Faculty
1,Arts,0ARTA,10 Visual Art A,0ARTA1A,10 Visual Art A1A,1A,,,,4,4.00,21,0,7
2,Arts,0ARTA,10 Visual Art A,0ARTA1B,10 Visual Art A1B,1B,,,,4,4.00,19,0,7
3,Arts,0ARTA,10 Visual Art A,0ARTA1C,10 Visual Art A1C,1C,,,,4,4.00,11,0,7
4,Care Groups,0CARE,10 Care,0CAREA,10 CareA,A,,,,4,0.32,0,1,55
5,Care Groups,0CARE,10 Care,0CAREB,10 CareB,B,,,,4,0.32,0,1,55
6,Care Groups,0CARE,10 Care,0CAREC,10 CareC,C,,,,4,0.32,0,1,55
7,Care Groups,0CARE,10 Care,0CAREE,10 CareE,E,,,,4,0.32,0,1,55
8,Care Groups,0CARE,10 Care,0CAREF,10 CareF,F,,,,4,0.32,0,1,55
9,Care Groups,0CARE,10 Care,0CAREG,10 CareG,G,,,,4,0.32,0,1,55
10,Care Groups,0CARE,10 Care,0CAREH,10 CareH,H,,,,4,0.32,0,1,55
11,Care Groups,0CARE,10 Care,0CARED,10 CareD,D,,,,4,0.32,0,1,55
12,Humanities,0CIV,10 Civics Citizenship Economics,0CIV1A,10 Civics Citizenship Economics1A,1A,,,,4,4.00,24,0,10
13,Arts,0DANA,10 Dance A,0DANA1A,10 Dance A1A,1A,,,,4,4.00,20,0,7
14,Arts,0DRAA,10 Drama A,0DRAA1A,10 Drama A1A,1A,,,,4,4.00,12,0,7
15,Design Technology,0DTPRO,10 Digital Products,0DTPRO1A,10 Digital Products1A,1A,,,,4,4.00,14,0,6
16,English,0EALA,10 English E,0EALAE1A,10 English EE1A,E1A,,,,4,4.00,0,0,11
17,English,0ENGL,10 English L,0ENGL1A,10 English L1A,1A,,,,4,4.00,0,0,11
18,English,0ENGO,10 English O1,0ENGO1A,10 English O11A,1A,,,,4,4.00,0,0,11
19,English,0ENGO,10 English O2,0ENGO2A,10 English O22A,2A,,,,4,4.00,0,0,11
20,English,0ENGO,10 English O4,0ENGO4A,10 English O44A,4A,,,,4,4.00,0,0,11
21,English,0ENGO,10 English O3,0ENGO3B,10 English O33B,3B,,,,4,4.00,0,0,11
22,English,0ENGP,10 English P,0ENGP1A,10 English P1A,1A,,,,4,4.00,0,0,11
23,Design Technology,0ENTEC,10 Engineering Technology,0ENTEC1A,10 Engineering Technology1A,1A,,,,4,4.00,20,0,6
24,Food Tech,0FDINV,10 Food Innovation,0FDINV1A,10 Food Innovation1A,1A,,,,4,4.00,20,0,6
25,Food Tech,0FODA,10 Food & Nutrition,0FODA1A,10 Food & Nutrition1A,1A,,,,4,4.00,20,0,6
26,Humanities,0HUML1,10 Humanities L1,0HUML1A,10 Humanities L1A,A,,,,4,4.00,0,0,10
27,Humanities,0HUMO1,10 Humanities O1,0HUMO1A,10 Humanities O1A,A,,,,4,4.00,0,0,10
28,Humanities,0HUMO3,10 Humanities O3,0HUMO3A,10 Humanities O3A,A,,,,4,4.00,0,0,10
29,Intervention,0LNSP,10 Learning Support,0LNSP1A,10 Learning Support1A,1A,,,,4,4.00,17,0,0
30,Arts,0MDAN,10 Media Arts Animation,0MDAN1A,10 Media Arts Animation1A,1A,,,,4,4.00,21,0,7
31,Arts,0MDFL,10 Media Arts Film & Cinematography,0MDFL1A,10 Media Arts Film & Cinematography1A,1A,,,,4,4.00,12,0,7
32,Design Technology,0MDNM,10 Material Design with Metal,0MDNM1A,10 Material Design with Metal1A,1A,,,,4,4.00,18,0,6
33,Design Technology,0MDNM,10 Material Design with Metal,0MDNM1B,10 Material Design with Metal1B,1B,,,,4,4.00,17,0,6
34,Design Technology,0MDTW,10 Material Design with Wood,0MDTW1A,10 Material Design with Wood1A,1A,,,,4,4.00,18,0,6
35,Design Technology,0MDTW,10 Material Design with Wood,0MDTW1B,10 Material Design with Wood1B,1B,,,,4,4.00,16,0,6
36,Mathematics,0MTHE,10 Mathematics E,0MTHE1A,10 Mathematics E1A,1A,,,,4,4.00,0,0,13
37,Mathematics,0MTHL,10 Mathematics L1,0MTHL1A,10 Mathematics L11A,1A,,,,4,4.00,0,0,13
38,Mathematics,0MTHO,10 Mathematics O1,0MTHO1A,10 Mathematics O11A,1A,,,,4,4.00,0,0,13
39,Mathematics,0MTHO,10 Mathematics O2,0MTHO2A,10 Mathematics O22A,2A,,,,4,4.00,0,0,13
40,Mathematics,0MTHO,10 Mathematics O3,0MTHO3A,10 Mathematics O33A,3A,,,,4,4.00,0,0,13
41,Mathematics,0MTHO,10 Mathematics O4,0MTHO4A,10 Mathematics O44A,4A,,,,4,4.00,0,0,13
42,Mathematics,0MTHP,10 Mathematics P1,0MTHP1A,10 Mathematics P11A,1A,,,,4,4.00,0,0,13
43,Arts,0MUSA,10 Music A,0MUSA1A,10 Music A1A,1A,,,,4,4.00,20,0,7
44,Arts,0MUSA,10 Music A,0MUSA1B,10 Music A1B,1B,,,,4,4.00,19,0,7
45,Care Groups,0PD,10 Personal Development,0PDA,10 Personal DevelopmentA,A,,,,2,1.30,0,1,55
46,Care Groups,0PD,10 Personal Development,0PDB,10 Personal DevelopmentB,B,,,,2,1.30,0,1,55
47,Care Groups,0PD,10 Personal Development,0PDC,10 Personal DevelopmentC,C,,,,2,1.30,0,1,55
48,Care Groups,0PD,10 Personal Development,0PDE,10 Personal DevelopmentE,E,,,,2,1.30,0,1,55
49,Care Groups,0PD,10 Personal Development,0PDF,10 Personal DevelopmentF,F,,,,2,1.30,0,1,55
50,Care Groups,0PD,10 Personal Development,0PDG,10 Personal DevelopmentG,G,,,,2,1.30,0,1,55
51,Care Groups,0PD,10 Personal Development,0PDH,10 Personal DevelopmentH,H,,,,2,1.30,0,1,55
52,Care Groups,0PD,10 Personal Development,0PDD,10 Personal DevelopmentD,D,,,,2,1.30,0,1,55
53,Design Technology,0PGH,10 Digital Photography,0PGH1A,10 Digital Photography1A,1A,,,,4,4.00,22,0,6
54,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11A,10 Health and Physical Education 11A,1A,,,,4,4.00,23,0,11
55,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11B,10 Health and Physical Education 11B,1B,,,,4,4.00,21,0,11
56,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11C,10 Health and Physical Education 11C,1C,,,,4,4.00,20,0,11
57,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11D,10 Health and Physical Education 11D,1D,,,,4,4.00,20,0,11
58,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11E,10 Health and Physical Education 11E,1E,,,,4,4.00,20,0,11
59,Health & PE,0PHE1,10 Health and Physical Education 1,0PHE11F,10 Health and Physical Education 11F,1F,,,,4,4.00,19,0,11
60,Science,0SCIE,10 Science E1,0SCIE1A,10 Science E11A,1A,,,,4,4.00,0,0,12
61,Science,0SCIL,10 Science L,0SCIL1A,10 Science L1A,1A,,,,4,4.00,0,0,12
62,Science,0SCIO,10 Science O1,0SCIO1A,10 Science O11A,1A,,,,4,4.00,0,0,12
63,Science,0SCIO,10 Science O2,0SCIO2A,10 Science O22A,2A,,,,4,4.00,0,0,12
64,Science,0SCIO,10 Science O3,0SCIO3A,10 Science O33A,3A,,,,4,4.00,0,0,12
65,Science,0SCIO,10 Science O4,0SCIO4A,10 Science O44A,4A,,,,4,4.00,0,0,12
66,Science,0SCIP,10 Science P1,0SCIP1A,10 Science P11A,1A,,,,4,4.00,0,0,12
67,Aboriginal Education,1ABGMS,10 SAASTA Aboriginal Studies,1ABGMS1A,10 SAASTA Aboriginal Studies1A,1A,,,,4,4.00,8,0,2
68,Aboriginal Education,1ABGSS,11 SAASTA Aboriginal Studies,1ABGSS1A,11 SAASTA Aboriginal Studies1A,1A,,,,4,4.00,8,0,2
69,Science,1BGYA,11 Biology A,1BGYA1A,11 Biology A1A,1A,,,,4,4.00,26,0,12
70,Care Groups,1CARE,11 Care,1CAREA,11 CareA,A,,,,4,0.32,0,1,55
71,Care Groups,1CARE,11 Care,1CAREB,11 CareB,B,,,,4,0.32,0,1,55
72,Care Groups,1CARE,11 Care,1CAREC,11 CareC,C,,,,4,0.32,0,1,55
73,Care Groups,1CARE,11 Care,1CARED,11 CareD,D,,,,4,0.32,0,1,55
74,Care Groups,1CARE,11 Care,1CAREE,11 CareE,E,,,,4,0.32,0,1,55
75,Care Groups,1CARE,11 Care,1CAREF,11 CareF,F,,,,4,0.32,0,1,55
76,Care Groups,1CARE,11 Care,1CAREG,11 CareG,G,,,,4,0.32,0,1,55
77,Science,1CEM1,11 Chemistry A,1CEM11A,11 Chemistry A1A,1A,,,,4,4.00,23,0,12
78,Health & PE,1CSDA,11 Child Studies A,1CSDA1A,11 Child Studies A1A,1A,,,,4,4.00,24,0,11
79,Arts,1CVA,11 Creative Arts - Music,1CVA1A,11 Creative Arts - Music1A,1A,,,,4,4.00,1,0,7
80,Design Technology,1DCSPHA,11 Photography A,1DCSPHA1A,11 Photography A1A,1A,,,,4,4.00,14,0,6
81,English,1EAL1,11 English as an Additional Language 1,1EAL11A,11 English as an Additional Language 11A,1A,,,,4,4.00,21,0,11
82,English,1EGH1,11 English 1,1EGH11A,11 English 11A,1A,,,,4,4.00,25,0,11
83,English,1EGH1,11 English 1,1EGH11B,11 English 11B,1B,,,,4,4.00,24,0,11
84,English,1ETE1,11 Essential English 1,1ETE11A,11 Essential English 11A,1A,,,,4,4.00,23,0,11
85,English,1ETE1,11 Essential English 1,1ETE11B,11 Essential English 11B,1B,,,,4,4.00,23,0,11
86,English,1ETEEAL1,11 Essential English (EALD) 1,1ETEEAL11A,11 Essential English (EALD) 11A,1A,,,,4,4.00,11,0,11
87,English,1ETELT1,11 Essential English (Literacy) 1,1ETELT11A,11 Essential English (Literacy) 11A,1A,,,,4,4.00,31,0,11
88,English,1ETELT1,11 Essential English (Literacy) 1,1ETELT11B,11 Essential English (Literacy) 11B,1B,,,,4,4.00,0,0,11
89,Food Tech,1FOH,11 Food and Hospitality,1FOH1A,11 Food and Hospitality1A,1A,,,,4,4.00,16,0,6
90,Health & PE,1HEWA,11 Health & Wellbeing A,1HEWA1A,11 Health & Wellbeing A1A,1A,,,,4,4.00,25,0,11
91,Design Technology,1IESDPUB,11 Digital Publishing,1IESDPUB1A,11 Digital Publishing1A,1A,,,,4,4.00,8,0,6
92,Arts,1ILNDN1,11 Dance (Integrated Learning),1ILNDN11A,11 Dance (Integrated Learning)1A,1A,,,,4,4.00,1,0,7
93,Arts,1ILNSP,11 Stage Production (Integrated Leaning),1ILNSP1A,11 Stage Production (Integrated Leaning)1A,1A,,,,4,4.00,3,0,7
94,Mathematics,1MAMA,11 Mathematical Methods A,1MAMA1A,11 Mathematical Methods A1A,1A,,,,4,4.00,21,0,13
95,Mathematics,1MAMSPA,11 Specalist Mathematics A,1MAMSPA1A,11 Specalist Mathematics A1A,1A,,,,4,4.00,5,0,13
96,Mathematics,1MEM1,11 Essential Mathematics (Vocational) 1,1MEM11A,11 Essential Mathematics (Vocational) 11A,1A,,,,4,4.00,23,0,13
97,Mathematics,1MEM1,11 Essential Mathematics (Vocational) 1,1MEM11B,11 Essential Mathematics (Vocational) 11B,1B,,,,4,4.00,22,0,13
98,Mathematics,1MEMN,11 Essential Mathematics (Numeracy),1MEMN1A,11 Essential Mathematics (Numeracy)1A,1A,,,,4,4.00,22,0,13
99,Mathematics,1MEMN,11 Essential Mathematics (Numeracy),1MEMN1B,11 Essential Mathematics (Numeracy)1B,1B,,,,4,4.00,21,0,13
100,Mathematics,1MGMA,11 General Mathematics A,1MGMA1A,11 General Mathematics A1A,1A,,,,4,4.00,26,0,13
101,Mathematics,1MGMA,11 General Mathematics A,1MGMA1B,11 General Mathematics A1B,1B,,,,4,4.00,25,0,13
102,Humanities,1MOD,11 Modern History,1MOD1A,11 Modern History1A,1A,,,,4,4.00,25,0,10
103,Design Technology,1MRSJ,11 Material Solutions with Jewlery,1MRSJ1A,11 Material Solutions with Jewlery1A,1A,,,,4,4.00,18,0,6
104,Design Technology,1MRSM,11 Material Solutions with Metal,1MRSM1A,11 Material Solutions with Metal1A,1A,,,,4,4.00,21,0,6
105,Design Technology,1MRSW,11 Material Soluctions with Wood,1MRSW1A,11 Material Soluctions with Wood1A,1A,,,,4,4.00,19,0,6
