No,Faculty,Subject Code,Subject Name,Class Code,Class Name,Class Suffix,BOS Class Code,BOS Code 2,BOS Code 3,Periods,Load,Students,Teachers Taking,Teachers In Faculty
106,Arts,1MXEA,11 Music Experience A,1MXEA1A,11 Music Experience A1A,1A,,,,4,4.00,8,0,7
107,Science,1NUTA,11 Nutrition A,1NUTA1A,11 Nutrition A1A,1A,,,,4,4.00,22,0,12
108,Health & PE,1OUTA,11 Outdoor Education A,1OUTA1A,11 Outdoor Education A1A,1A,,,,4,4.00,18,0,11
109,Health & PE,1OUTA,11 Outdoor Education A,1OUTA1B,11 Outdoor Education A1B,1B,,,,4,4.00,22,0,11
110,Care Groups,1PD,11 Personal Development,1PDA,11 Personal DevelopmentA,A,,,,2,1.30,0,1,55
111,Care Groups,1PD,11 Personal Development,1PDB,11 Personal DevelopmentB,B,,,,2,1.30,0,1,55
112,Care Groups,1PD,11 Personal Development,1PDC,11 Personal DevelopmentC,C,,,,2,1.30,0,1,55
113,Care Groups,1PD,11 Personal Development,1PDD,11 Personal DevelopmentD,D,,,,2,1.30,0,1,55
114,Care Groups,1PD,11 Personal Development,1PDE,11 Personal DevelopmentE,E,,,,2,1.30,0,1,55
115,Care Groups,1PD,11 Personal Development,1PDF,11 Personal DevelopmentF,F,,,,2,1.30,0,1,55
116,Care Groups,1PD,11 Personal Development,1PDG,11 Personal DevelopmentG,G,,,,2,1.30,0,1,55
117,Health & PE,1PHDA,11 Physical Education A,1PHDA1A,11 Physical Education A1A,1A,,,,4,4.00,23,0,11
118,Health & PE,1PHDA,11 Physical Education A,1PHDA1B,11 Physical Education A1B,1B,,,,4,4.00,24,0,11
119,Health & PE,1PHDA,11 Physical Education A,1PHDA1C,11 Physical Education A1C,1C,,,,4,4.00,23,0,11
120,Special Education,1PL,11 PLP (Special Education),1PLM,11 PLP (Special Education)M,M,,,,4,4.00,0,1,14
121,Research Project & PLP,1PLPE,11 Personal Learning Plan E,1PLPEA,11 Personal Learning Plan EA,A,,,,4,4.00,0,0,4
122,Research Project & PLP,1PLPO2,11 Personal Learning Plan O2,1PLPO2A,11 Personal Learning Plan O2A,A,,,,4,4.00,0,0,4
123,Research Project & PLP,1PLPO4,11 Personal Learning Plan O4,1PLPO4A,11 Personal Learning Plan O4A,A,,,,4,4.00,0,0,4
124,Research Project & PLP,1PLPP1,11 Personal Learning Plan P,1PLPP1A,11 Personal Learning Plan PA,A,,,,4,4.00,0,0,4
125,Arts,1PPP,11 Politics Power and People,1PPP1A,11 Politics Power and People1A,1A,,,,4,4.00,17,0,7
126,Science,1PSCA,11 Psychology A,1PSCA1A,11 Psychology A1A,1A,,,,4,4.00,25,0,12
127,Science,1PYI1,11 Physics A,1PYI11A,11 Physics A1A,1A,,,,4,4.00,20,0,12
128,Design Technology,1RESA,11 Robotic and Electronic Systems A,1RESA1A,11 Robotic and Electronic Systems A1A,1A,,,,4,4.00,10,0,6
129,Design Technology,1RESB,11 Robotic and Electronic Systems B,1RESB1A,11 Robotic and Electronic Systems B1A,1A,,,,4,4.00,1,0,6
130,Science,1STUA,11 Scientific Studies A,1STUA1A,11 Scientific Studies A1A,1A,,,,4,4.00,22,0,12
131,Science,1STUA,11 Scientific Studies A,1STUA1B,11 Scientific Studies A1B,1B,,,,4,4.00,18,0,12
132,Arts,1VAAA,11 Art Practical A,1VAAA1A,11 Art Practical A1A,1A,,,,4,4.00,18,0,7
133,Care Groups,2CARE,12 Care,2CAREA,12 CareA,A,,,,4,0.32,0,1,55
134,Care Groups,2CARE,12 Care,2CAREB,12 CareB,B,,,,4,0.32,0,1,55
135,Care Groups,2CARE,12 Care,2CAREC,12 CareC,C,,,,4,0.32,0,1,55
136,Care Groups,2CARE,12 Care,2CARED,12 CareD,D,,,,4,0.32,0,1,55
137,Care Groups,2CARE,12 Care,2CAREE,12 CareE,E,,,,4,0.32,0,1,55
138,Care Groups,2CARE,12 Care,2CAREF,12 CareF,F,,,,4,0.32,0,1,55
139,Science,2CEM,12 Chemistry,2CEM1A,12 Chemistry1A,1A,,,,5,5.00,12,0,12
140,Health & PE,2CSD,12 Child Studies,2CSD1A,12 Child Studies1A,1A,,,,4,4.00,13,0,11
141,Arts,2CVAMU,12 Creative Arts (Music Focus),2CVAMU1A,12 Creative Arts (Music Focus)1A,1A,,,,4,4.00,9,0,7
142,English,2EAL,12 English as an Additional Language,2EAL1A,12 English as an Additional Language1A,1A,,,,5,5.00,15,0,11
143,English,2ESH,12 English,2ESH1A,12 English1A,1A,,,,4,4.00,16,0,11
144,English,2ETE,12 Essential English,2ETE1A,12 Essential English1A,1A,,,,4,4.00,21,0,11
145,English,2ETE,12 Essential English,2ETE1B,12 Essential English1B,1B,,,,4,4.00,20,0,11
146,Food Tech,2FOH,12 Food & Hospitality Studies,2FOH1A,12 Food & Hospitality Studies1A,1A,,,,4,4.00,3,0,6
147,Health & PE,2HEW,12 Health and Wellbeing,2HEW1A,12 Health and Wellbeing1A,1A,,,,4,4.00,16,0,11
148,Design Technology,2IESDPR,12 Digital Products,2IESDPR1A,12 Digital Products1A,1A,,,,4,4.00,8,0,6
149,Design Technology,2IESMW,12 Material Products with Metal,2IESMW1A,12 Material Products with Metal1A,1A,,,,4,4.00,16,0,6
150,Health & PE,2ILASS,12 Sport Health & Physical Act,2ILASS1A,12 Sport Health & Physical Act1A,1A,,,,4,4.00,16,0,11
151,Aboriginal Education,2ILBPWR,12 SAASTA (Integrated Learning),2ILBPWR1A,12 SAASTA (Integrated Learning)1A,1A,,,,4,4.00,9,0,2
152,Arts,2ILBSP,12 Stage Production (Integrated Learning),2ILBSP1A,12 Stage Production (Integrated Learning)1A,1A,,,,4,4.00,6,0,7
153,Mathematics,2ILNMTH,12 Math Skills for Life,2ILNMTH1A,12 Math Skills for Life1A,1A,,,,4,4.00,26,0,13
154,Humanities,2ILPP,12 Political Philosophy,2ILPP1A,12 Political Philosophy1A,1A,,,,4,4.00,0,0,10
155,Mathematics,2MGM,12 General Mathematics,2MGM1A,12 General Mathematics1A,1A,,,,5,5.00,17,0,13
156,Mathematics,2MHS,12 Mathematical Methods,2MHS1A,12 Mathematical Methods1A,1A,,,,5,5.00,13,0,13
157,Design Technology,2MRSW,12 Furniture Construction,2MRSW1A,12 Furniture Construction1A,1A,,,,4,4.00,14,0,6
158,Mathematics,2MSC,12 Specialist Mathematics,2MSC1A,12 Specialist Mathematics1A,1A,,,,5,5.00,6,0,13
159,Care Groups,2PD,12 Personal Development,2PDA,12 Personal DevelopmentA,A,,,,2,1.30,0,1,55
160,Care Groups,2PD,12 Personal Development,2PDB,12 Personal DevelopmentB,B,,,,2,1.30,0,1,55
161,Care Groups,2PD,12 Personal Development,2PDC,12 Personal DevelopmentC,C,,,,2,1.30,0,1,55
162,Care Groups,2PD,12 Personal Development,2PDD,12 Personal DevelopmentD,D,,,,2,1.30,0,1,55
163,Care Groups,2PD,12 Personal Development,2PDE,12 Personal DevelopmentE,E,,,,2,1.30,0,1,55
164,Care Groups,2PD,12 Personal Development,2PDF,12 Personal DevelopmentF,F,,,,2,1.30,0,1,55
165,Health & PE,2PHD,12 Physical Education,2PHD1A,12 Physical Education1A,1A,,,,4,4.00,16,0,11
166,Humanities,2PPP,12 Politics Power and People,2PPP1A,12 Politics Power and People1A,1A,,,,4,4.00,2,0,10
167,Humanities,2PPS,12 Philosophy,2PPS1A,12 Philosophy1A,1A,,,,4,4.00,4,0,10
168,Science,2PSC,12 Psychology,2PSC1A,12 Psychology1A,1A,,,,4,4.00,7,0,12
169,Science,2PYI,12 Physics,2PYI1A,12 Physics1A,1A,,,,5,5.00,11,0,12
170,Special Education,2RP,12 Research Project (Special Education),2RPM,12 Research Project (Special Education)M,M,,,,4,4.00,0,1,14
171,Research Project & PLP,2RPJ1A,12 Research Project A,2RPJ1A1A,12 Research Project A1A,1A,,,,4,4.00,21,0,4
172,Research Project & PLP,2RPJ1A,12 Research Project A,2RPJ1A1B,12 Research Project A1B,1B,,,,4,4.00,22,0,4
173,Research Project & PLP,2RPJ1A,12 Research Project A,2RPJ1A1C,12 Research Project A1C,1C,,,,4,4.00,22,0,4
174,Humanities,2SOR,12 Society & Culture,2SOR1A,12 Society & Culture1A,1A,,,,4,4.00,21,0,10
175,Science,2STU,12 Scientific Studies,2STU1A,12 Scientific Studies1A,1A,,,,4,4.00,18,0,12
176,Arts,2VAA,12 Visual Arts - Art,2VAA1A,12 Visual Arts - Art1A,1A,,,,4,4.00,6,0,7
177,Research Project & PLP,2WPC,12 Workplace Practices,2WPC1A,12 Workplace Practices1A,1A,,,,4,4.00,28,0,4
178,Arts,7ART,07 Visual Arts,7ART1A,07 Visual Arts1A,1A,,,,4,4.00,22,0,7
179,Care Groups,7CARE,07 Care,7CAREA,07 CareA,A,,,,4,0.32,0,1,55
180,Care Groups,7CARE,07 Care,7CAREB,07 CareB,B,,,,4,0.32,0,1,55
181,Care Groups,7CARE,07 Care,7CAREC,07 CareC,C,,,,4,0.32,0,1,55
182,Care Groups,7CARE,07 Care,7CARED,07 CareD,D,,,,4,0.32,0,1,55
183,Care Groups,7CARE,07 Care,7CAREE,07 CareE,E,,,,4,0.32,0,1,55
184,Care Groups,7CARE,07 Care,7CAREF,07 CareF,F,,,,4,0.32,0,1,55
185,Care Groups,7CARE,07 Care,7CAREG,07 CareG,G,,,,4,0.32,0,1,55
186,Care Groups,7CARE,07 Care,7CAREH,07 CareH,H,,,,4,0.32,0,1,55
187,Care Groups,7CARE,07 Care,7CAREI,07 CareI,I,,,,4,0.32,0,1,55
188,Design Technology,7DPD,07 Digital Products,7DPD1A,07 Digital Products1A,1A,,,,4,4.00,22,0,6
189,Design Technology,7DPD,07 Digital Products,7DPD1B,07 Digital Products1B,1B,,,,4,4.00,17,0,6
190,Arts,7DRA,07 Drama,7DRA1A,07 Drama1A,1A,,,,4,4.00,18,0,7
191,Digital Tech,7DTE,07 Digital Technology,7DTE1A,07 Digital Technology1A,1A,,,,4,4.00,22,0,4
192,Digital Tech,7DTE,07 Digital Technology,7DTE1C,07 Digital Technology1C,1C,,,,4,4.00,15,0,4
193,English,7EALB,07 English as a Sec Lang B,7EALB1A,07 English as a Sec Lang B1A,1A,,,,4,4.00,19,0,11
194,English,7ENGE,07 English E,7ENGE1,07 English E1,1,,,,4,4.00,0,0,11
195,English,7ENGL,07 English L,7ENGL1,07 English L1,1,,,,4,4.00,0,0,11
196,English,7ENGO,07 English O1,7ENGO1,07 English O11,1,,,,4,4.00,0,0,11
197,English,7ENGO,07 English O2,7ENGO2,07 English O22,2,,,,4,4.00,0,0,11
198,English,7ENGO,07 English O3,7ENGO3,07 English O33,3,,,,4,4.00,0,0,11
199,English,7ENGO,07 English O4,7ENGO4,07 English O44,4,,,,4,4.00,0,0,11
200,English,7ENGO,07 English O5,7ENGO5,07 English O55,5,,,,4,4.00,0,0,11
201,English,7ENGP,07 English P,7ENGP1,07 English P1,1,,,,4,4.00,0,0,11
202,Food Tech,7FOD,07 Food and Nutrition,7FOD1A,07 Food and Nutrition1A,1A,,,,4,4.00,19,0,6
203,Food Tech,7FOD,07 Food and Nutrition,7FOD1B,07 Food and Nutrition1B,1B,,,,4,4.00,18,0,6
204,Food Tech,7FOD,07 Food and Nutrition,7FOD1E,07 Food and Nutrition1E,1E,,,,4,4.00,22,0,6
205,Health & PE,7HPE,07 Health and Physical Education,7HPE1A,07 Health and Physical Education1A,1A,,,,4,4.00,23,0,11
206,Health & PE,7HPE,07 Health and Physical Education,7HPE1B,07 Health and Physical Education1B,1B,,,,4,4.00,22,0,11
207,Health & PE,7HPE,07 Health and Physical Education,7HPE1D,07 Health and Physical Education1D,1D,,,,4,4.00,24,0,11
208,Health & PE,7HPE,07 Health and Physical Education,7HPE1E,07 Health and Physical Education1E,1E,,,,4,4.00,24,0,11
209,Health & PE,7HPE,07 Health and Physical Education,7HPE1F,07 Health and Physical Education1F,1F,,,,4,4.00,22,0,11
210,Health & PE,7HPE,07 Health and Physical Education,7HPE1G,07 Health and Physical Education1G,1G,,,,4,4.00,22,0,11
211,Health & PE,7HPE,07 Health and Physical Education,7HPE1H,07 Health and Physical Education1H,1H,,,,4,4.00,21,0,11
212,Health & PE,7HPE,07 Health and Physical Education,7HPE1I,07 Health and Physical Education1I,1I,,,,4,4.00,21,0,11
213,Humanities,7HUME,07 Humanities E,7HUME1,07 Humanities E1,1,,,,4,4.00,0,0,10
214,Humanities,7HUML,07 Humanities L,7HUML1,07 Humanities L1,1,,,,4,4.00,0,0,10
215,Humanities,7HUMO,07 Humanities O1,7HUMO1,07 Humanities O11,1,,,,4,4.00,0,0,10
216,Humanities,7HUMO,07 Humanities O2,7HUMO2,07 Humanities O22,2,,,,4,4.00,0,0,10
217,Humanities,7HUMO,07 Humanities O4,7HUMO4,07 Humanities O44,4,,,,4,4.00,0,0,10
218,Humanities,7HUMO,07 Humanities O5,7HUMO5,07 Humanities O55,5,,,,4,4.00,0,0,10
219,Humanities,7HUMO,07 Humanities O3,7HUMO3,07 Humanities O33,3,,,,4,4.00,0,0,10
220,Humanities,7HUMP,07 Humanities E,7HUMP1,07 Humanities E1,1,,,,4,4.00,0,0,10
221,Languages,7ITA,07 Italian,7ITA1A,07 Italian1A,1A,,,,4,4.00,20,0,2
222,Languages,7ITA,07 Italian,7ITA1B,07 Italian1B,1B,,,,4,4.00,21,0,2
223,Languages,7ITA,07 Italian,7ITA1C,07 Italian1C,1C,,,,4,4.00,24,0,2
224,Languages,7ITA,07 Italian,7ITA1D,07 Italian1D,1D,,,,4,4.00,22,0,2
225,Intervention,7LITAF,07 Literacy (ATSI Focus),7LITAF1A,07 Literacy (ATSI Focus)1A,1A,,,,4,4.00,6,0,0
226,Intervention,7LITP,07 Literacy P,7LITP1A,07 Literacy P1A,1A,,,,4,4.00,20,0,0
227,Intervention,7LNSP,07 Learning Support,7LNSP1A,07 Learning Support1A,1A,,,,4,4.00,4,0,0
228,Mathematics,7MTHE,07 Mathematics E,7MTHE1,07 Mathematics E1,1,,,,4,4.00,0,0,13
229,Mathematics,7MTHL,07 Mathematics L,7MTHL1,07 Mathematics L1,1,,,,4,4.00,0,0,13
230,Humanities,7MTHO,07 Mathematics O1,7MTHO1,07 Mathematics O11,1,,,,4,4.00,0,0,10
231,Mathematics,7MTHO,07 Mathematics O2,7MTHO2,07 Mathematics O22,2,,,,4,4.00,0,0,13
232,Mathematics,7MTHO,07 Mathematics O3,7MTHO3,07 Mathematics O33,3,,,,4,4.00,0,0,13
233,Mathematics,7MTHO,07 Mathematics O4,7MTHO4,07 Mathematics O44,4,,,,4,4.00,0,0,13
234,Mathematics,7MTHO,07 Mathematics O5,7MTHO5,07 Mathematics O55,5,,,,4,4.00,0,0,13
235,Mathematics,7MTHP,07 Mathematics P,7MTHP1,07 Mathematics P1,1,,,,4,4.00,0,0,13
236,Arts,7MUS,07 Music,7MUS1A,07 Music1A,1A,,,,4,4.00,22,0,7
237,Care Groups,7PD,07 Personal Development,7PDA,07 Personal DevelopmentA,A,,,,2,1.30,0,1,55
238,Care Groups,7PD,07 Personal Development,7PDB,07 Personal DevelopmentB,B,,,,2,1.30,0,1,55
239,Care Groups,7PD,07 Personal Development,7PDC,07 Personal DevelopmentC,C,,,,2,1.30,0,1,55
240,Care Groups,7PD,07 Personal Development,7PDD,07 Personal DevelopmentD,D,,,,2,1.30,0,1,55
