Code,Name_x
9ENG,09 9ENG ENGLISH
9FODN,09 9FODN FOOD & NUTRITION
9HUM,09 9HUM HUMANITIES
9MTH,09 9MTH MATHEMATICS
9PD,09 9PD
9SCI,09 9SCI SCIENCE
0ENG,10 0ENG ENGLISH
0HUM,10 0HUM HUMANITIES
0MDTW,10 0MDTW MATERIALS DESIGN with Wood
0MTH,10 0MTH MATHEMATICS
0PGHD,10 0PGHD DIGITAL PHOTOGRAPHY
0SCI,10 0SCI SCIENCE
